"CodMun";"Municipio";"Pobloglog"
12100;"Sant Mateu ";2
12102;"Santa Magdalena de Pulpis ";1
12104;"Segorbe ";2
12103;"Serratella, la ";1
12105;"Sierra Engarceran ";1
12106;"Soneja ";1
12107;"Sot de Ferrer ";1
12108;"Sueras/Suera ";1
12109;"Tales ";1
12110;"Teresa ";1
12111;"Tirig ";1
12112;"Todolella ";1
12113;"Toga ";1
12114;"Toras ";1
12115;"Toro, El ";1
12116;"Torralba del Pinar ";1
12119;"Torre d'En Besora, la ";1
12120;"Torre d'en Domenec, la ";1
12117;"Torreblanca ";2
12118;"Torrechiva ";1
12121;"Traiguera ";1
12122;"Useras/Useres, les ";1
12124;"Vall d'Alba ";2
12125;"Vall de Almonacid ";1
12126;"Vall d'Uixo, la ";2
12123;"Vallat ";1
12127;"Vallibona ";1
12128;"Vilafames ";2
12132;"Vilanova d'Alcolea ";1
12134;"Vilar de Canes ";1
12135;"Vila-real ";2
12136;"Vilavella, la ";2
12129;"Villafranca del Cid/Vilafranca ";2
12130;"Villahermosa del Rio ";1
12131;"Villamalur ";1
12133;"Villanueva de Viver ";1
12137;"Villores ";1
12138;"Vinaros ";2
12139;"Vistabella del Maestrat ";1
12140;"Viver ";1
12052;"Xert ";1
12141;"Zorita del Maestrazgo ";1
12142;"Zucaina ";1
13001;"Abenojar ";1
13002;"Agudo ";2
13003;"Alamillo ";1
13004;"Albaladejo ";1
13005;"Alcazar de San Juan ";2
13006;"Alcoba ";1
13007;"Alcolea de Calatrava ";1
13008;"Alcubillas ";1
13009;"Aldea del Rey ";2
13010;"Alhambra ";1
13011;"Almaden ";2
13012;"Almadenejos ";1
13013;"Almagro ";2
13014;"Almedina ";1
13015;"Almodovar del Campo ";2
13016;"Almuradiel ";1
13017;"Anchuras ";1
13903;"Arenales de San Gregorio ";1
13018;"Arenas de San Juan ";1
13019;"Argamasilla de Alba ";2
13020;"Argamasilla de Calatrava ";2
13021;"Arroba de los Montes ";1
13022;"Ballesteros de Calatrava ";1
13023;"Bolanos de Calatrava ";2
13024;"Brazatortas ";1
13025;"Cabezarados ";1
13026;"Cabezarrubias del Puerto ";1
13027;"Calzada de Calatrava ";2
13028;"Campo de Criptana ";2
13029;"Canada de Calatrava ";1
13030;"Caracuel de Calatrava ";1
13031;"Carrion de Calatrava ";2
13032;"Carrizosa ";1
13033;"Castellar de Santiago ";2
13038;"Chillon ";2
13034;"Ciudad Real ";2
13035;"Corral de Calatrava ";1
13036;"Cortijos, Los ";1
13037;"Cozar ";1
13039;"Daimiel ";2
13040;"Fernan Caballero ";1
13041;"Fontanarejo ";1
13042;"Fuencaliente ";1
13043;"Fuenllana ";1
13044;"Fuente el Fresno ";2
13045;"Granatula de Calatrava ";1
13046;"Guadalmez ";1
13047;"Herencia ";2
13048;"Hinojosas de Calatrava ";1
13049;"Horcajo de los Montes ";1
13050;"Labores, Las ";1
13904;"Llanos del Caudillo ";1
13051;"Luciana ";1
13052;"Malagon ";2
13053;"Manzanares ";2
13054;"Membrilla ";2
13055;"Mestanza ";1
13056;"Miguelturra ";2
13057;"Montiel ";1
13058;"Moral de Calatrava ";2
13059;"Navalpino ";1
13060;"Navas de Estena ";1
13061;"Pedro Munoz ";2
13062;"Picon ";1
13063;"Piedrabuena ";2
13064;"Poblete ";2
13065;"Porzuna ";2
13066;"Pozuelo de Calatrava ";2
13067;"Pozuelos de Calatrava, Los ";1
13068;"Puebla de Don Rodrigo ";1
13069;"Puebla del Principe ";1
13070;"Puerto Lapice ";1
13071;"Puertollano ";2
13072;"Retuerta del Bullaque ";1
13901;"Robledo, El ";1
13902;"Ruidera ";1
13073;"Saceruela ";1
13074;"San Carlos del Valle ";1
13075;"San Lorenzo de Calatrava ";1
13076;"Santa Cruz de los Canamos ";1
13077;"Santa Cruz de Mudela ";2
13078;"Socuellamos ";2
13080;"Solana del Pino ";1
13079;"Solana, La ";2
13081;"Terrinches ";1
13082;"Tomelloso ";2
13083;"Torralba de Calatrava ";2
13084;"Torre de Juan Abad ";1
13085;"Torrenueva ";2
13086;"Valdemanco del Esteras ";1
13087;"Valdepenas ";2
13088;"Valenzuela de Calatrava ";1
13089;"Villahermosa ";2
13090;"Villamanrique ";1
13091;"Villamayor de Calatrava ";1
13092;"Villanueva de la Fuente ";2
13093;"Villanueva de los Infantes ";2
13094;"Villanueva de San Carlos ";1
13095;"Villar del Pozo ";1
13096;"Villarrubia de los Ojos ";2
13097;"Villarta de San Juan ";2
13098;"Viso del Marques ";2
14001;"Adamuz ";2
14002;"Aguilar de la Frontera ";2
14003;"Alcaracejos ";1
14004;"Almedinilla ";2
14005;"Almodovar del Rio ";2
14006;"Anora ";1
14007;"Baena ";2
14008;"Belalcazar ";2
14009;"Belmez ";2
14010;"Benameji ";2
14011;"Blazquez, Los ";1
14012;"Bujalance ";2
14013;"Cabra ";2
14014;"Canete de las Torres ";2
14015;"Carcabuey ";2
14016;"Cardena ";1
14017;"Carlota, La ";2
14018;"Carpio, El ";2
14019;"Castro del Rio ";2
14020;"Conquista ";1
14021;"Cordoba ";2
14022;"Dona Mencia ";2
14023;"Dos Torres ";2
14024;"Encinas Reales ";2
14025;"Espejo ";2
14026;"Espiel ";2
14027;"Fernan-Nunez ";2
14028;"Fuente la Lancha ";1
14029;"Fuente Obejuna ";2
14030;"Fuente Palmera ";2
14031;"Fuente-Tojar ";1
14032;"Granjuela, La ";1
14033;"Guadalcazar ";1
14034;"Guijo, El ";1
14035;"Hinojosa del Duque ";2
14036;"Hornachuelos ";2
14037;"Iznajar ";2
14038;"Lucena ";2
14039;"Luque ";2
14040;"Montalban de Cordoba ";2
14041;"Montemayor ";2
14042;"Montilla ";2
14043;"Montoro ";2
14044;"Monturque ";2
14045;"Moriles ";2
14046;"Nueva Carteya ";2
14047;"Obejo ";2
14048;"Palenciana ";1
14049;"Palma del Rio ";2
14050;"Pedro Abad ";2
14051;"Pedroche ";2
14052;"Penarroya-Pueblonuevo ";2
14053;"Posadas ";2
14054;"Pozoblanco ";2
14055;"Priego de Cordoba ";2
14056;"Puente Genil ";2
14057;"Rambla, La ";2
14058;"Rute ";2
14059;"San Sebastian de los Ballesteros ";1
14061;"Santa Eufemia ";1
14060;"Santaella ";2
14062;"Torrecampo ";1
14063;"Valenzuela ";1
14064;"Valsequillo ";1
14065;"Victoria, La ";2
14066;"Villa del Rio ";2
14067;"Villafranca de Cordoba ";2
14068;"Villaharta ";1
14069;"Villanueva de Cordoba ";2
14070;"Villanueva del Duque ";1
14071;"Villanueva del Rey ";1
14072;"Villaralto ";1
14073;"Villaviciosa de Cordoba ";2
14074;"Viso, El ";2
14075;"Zuheros ";1
15001;"Abegondo ";2
15002;"Ames ";2
15003;"Aranga ";2
15004;"Ares ";2
15005;"Arteixo ";2
15006;"Arzua ";2
15007;"Bana, A ";2
15008;"Bergondo ";2
15009;"Betanzos ";2
15010;"Boimorto ";2
15011;"Boiro ";2
15012;"Boqueixon ";2
15013;"Brion ";2
15014;"Cabana de Bergantinos ";2
15015;"Cabanas ";2
15016;"Camarinas ";2
15017;"Cambre ";2
15018;"Capela, A ";1
15019;"Carballo ";2
15901;"Carino ";2
15020;"Carnota ";2
15021;"Carral ";2
15022;"Cedeira ";2
15023;"Cee ";2
15024;"Cerceda ";2
15025;"Cerdido ";1
15027;"Coiros ";2
15028;"Corcubion ";2
15029;"Coristanco ";2
15030;"Coruna, A ";2
15031;"Culleredo ";2
15032;"Curtis ";2
15033;"Dodro ";2
15034;"Dumbria ";2
15035;"Fene ";2
15036;"Ferrol ";2
15037;"Fisterra ";2
15038;"Frades ";2
15039;"Irixoa ";1
15041;"Laracha, A ";2
15040;"Laxe ";2
15042;"Lousame ";2
15043;"Malpica de Bergantinos ";2
15044;"Manon ";1
15045;"Mazaricos ";2
15046;"Melide ";2
15047;"Mesia ";2
15048;"Mino ";2
15049;"Moeche ";1
15050;"Monfero ";2
15051;"Mugardos ";2
15053;"Muros ";2
15052;"Muxia ";2
15054;"Naron ";2
15055;"Neda ";2
15056;"Negreira ";2
15057;"Noia ";2
15058;"Oleiros ";2
15059;"Ordes ";2
15060;"Oroso ";2
15061;"Ortigueira ";2
15062;"Outes ";2
15902;"Oza-Cesuras ";2
15064;"Paderne ";2
15065;"Padron ";2
15066;"Pino, O ";2
15067;"Pobra do Caraminal, A ";2
15068;"Ponteceso ";2
15069;"Pontedeume ";2
15070;"Pontes de Garcia Rodriguez, As ";2
15071;"Porto do Son ";2
15072;"Rianxo ";2
15073;"Ribeira ";2
15074;"Rois ";2
15075;"Sada ";2
15076;"San Sadurnino ";2
15077;"Santa Comba ";2
15078;"Santiago de Compostela ";2
15079;"Santiso ";2
15080;"Sobrado ";2
15081;"Somozas, As ";1
15082;"Teo ";2
15083;"Toques ";1
15084;"Tordoia ";2
15085;"Touro ";2
15086;"Trazo ";2
15088;"Val do Dubra ";2
15087;"Valdovino ";2
15089;"Vedra ";2
15091;"Vilarmaior ";1
15090;"Vilasantar ";1
15092;"Vimianzo ";2
15093;"Zas ";2
16001;"Abia de la Obispalia ";1
16002;"Acebron, El ";1
16003;"Alarcon ";1
16004;"Albaladejo del Cuende ";1
16005;"Albalate de las Nogueras ";1
16006;"Albendea ";1
16007;"Alberca de Zancara, La ";2
16008;"Alcala de la Vega ";1
16009;"Alcantud ";1
16010;"Alcazar del Rey ";1
16011;"Alcohujate ";1
16012;"Alconchel de la Estrella ";1
16013;"Algarra ";1
16014;"Aliaguilla ";1
16015;"Almarcha, La ";1
16016;"Almendros ";1
16017;"Almodovar del Pinar ";1
16018;"Almonacid del Marquesado ";1
16019;"Altarejos ";1
16020;"Arandilla del Arroyo ";1
16905;"Arcas ";1
16022;"Arcos de la Sierra ";1
16024;"Arguisuelas ";1
16025;"Arrancacepas ";1
16026;"Atalaya del Canavate ";1
16027;"Barajas de Melo ";1
16029;"Barchin del Hoyo ";1
16030;"Bascunana de San Pedro ";1
16031;"Beamud ";1
16032;"Belinchon ";1
16033;"Belmonte ";2
16034;"Belmontejo ";1
16035;"Beteta ";1
16036;"Boniches ";1
16038;"Buciegas ";1
16039;"Buenache de Alarcon ";1
16040;"Buenache de la Sierra ";1
16041;"Buendia ";1
16042;"Campillo de Altobuey ";1
16043;"Campillos-Paravientos ";1
16044;"Campillos-Sierra ";1
16901;"Campos del Paraiso ";1
16045;"Canalejas del Arroyo ";1
16046;"Canada del Hoyo ";1
16047;"Canada Juncosa ";1
16048;"Canamares ";1
16049;"Canavate, El ";1
16050;"Canaveras ";1
16051;"Canaveruelas ";1
16052;"Canete ";1
16053;"Canizares ";1
16055;"Carboneras de Guadazaon ";1
16056;"Cardenete ";1
16057;"Carrascosa ";1
16058;"Carrascosa de Haro ";1
16060;"Casas de Benitez ";1
16061;"Casas de Fernando Alonso ";1
16062;"Casas de Garcimolina ";1
16063;"Casas de Guijarro ";1
16064;"Casas de Haro ";1
16065;"Casas de los Pinos ";1
16066;"Casasimarro ";2
16067;"Castejon ";1
16068;"Castillejo de Iniesta ";1
16070;"Castillejo-Sierra ";1
16072;"Castillo de Garcimunoz ";1
16071;"Castillo-Albaranez ";1
16073;"Cervera del Llano ";1
16023;"Chillaron de Cuenca ";1
16081;"Chumillas ";1
16074;"Cierva, La ";1
16078;"Cuenca ";2
16079;"Cueva del Hierro ";1
16082;"Enguidanos ";1
16083;"Fresneda de Altarejos ";1
16084;"Fresneda de la Sierra ";1
16085;"Frontera, La ";1
16086;"Fuente de Pedro Naharro ";1
16087;"Fuentelespino de Haro ";1
16088;"Fuentelespino de Moya ";1
16904;"Fuentenava de Jabaga ";1
16089;"Fuentes ";1
16091;"Fuertescusa ";1
16092;"Gabaldon ";1
16093;"Garaballa ";1
16094;"Gascuena ";1
16095;"Graja de Campalbo ";1
16096;"Graja de Iniesta ";1
16097;"Henarejos ";1
16098;"Herrumblar, El ";1
16099;"Hinojosa, La ";1
16100;"Hinojosos, Los ";1
16101;"Hito, El ";1
16102;"Honrubia ";2
16103;"Hontanaya ";1
16104;"Hontecillas ";1
16106;"Horcajo de Santiago ";2
16107;"Huelamo ";1
16108;"Huelves ";1
16109;"Huerguina ";1
16110;"Huerta de la Obispalia ";1
16111;"Huerta del Marquesado ";1
16112;"Huete ";2
16113;"Iniesta ";2
16115;"Laguna del Marquesado ";1
16116;"Lagunaseca ";1
16117;"Landete ";1
16118;"Ledana ";2
16119;"Leganiel ";1
16121;"Majadas, Las ";1
16122;"Mariana ";1
16123;"Masegosa ";1
16124;"Mesas, Las ";2
16125;"Minglanilla ";2
16126;"Mira ";1
16128;"Monreal del Llano ";1
16129;"Montalbanejo ";1
16130;"Montalbo ";1
16131;"Monteagudo de las Salinas ";1
16132;"Mota de Altarejos ";1
16133;"Mota del Cuervo ";2
16134;"Motilla del Palancar ";2
16135;"Moya ";1
16137;"Narboneta ";1
16139;"Olivares de Jucar ";1
16140;"Olmeda de la Cuesta ";1
16141;"Olmeda del Rey ";1
16142;"Olmedilla de Alarcon ";1
16143;"Olmedilla de Eliz ";1
16145;"Osa de la Vega ";1
16146;"Pajaron ";1
16147;"Pajaroncillo ";1
16148;"Palomares del Campo ";1
16149;"Palomera ";1
16150;"Paracuellos ";1
16151;"Paredes ";1
16152;"Parra de las Vegas, La ";1
16153;"Pedernoso, El ";1
16154;"Pedroneras, Las ";2
16155;"Peral, El ";1
16156;"Peraleja, La ";1
16157;"Pesquera, La ";1
16158;"Picazo, El ";1
16159;"Pinarejo ";1
16160;"Pineda de Giguela ";1
16161;"Piqueras del Castillo ";1
16162;"Portalrubio de Guadamejud ";1
16163;"Portilla ";1
16165;"Poyatos ";1
16166;"Pozoamargo ";1
16908;"Pozorrubielos de la Mancha ";1
16167;"Pozorrubio de Santiago ";1
16169;"Pozuelo, El ";1
16170;"Priego ";1
16171;"Provencio, El ";2
16172;"Puebla de Almenara ";1
16174;"Puebla del Salvador ";1
16175;"Quintanar del Rey ";2
16176;"Rada de Haro ";1
16177;"Reillo ";1
16181;"Rozalen del Monte ";1
16185;"Saceda-Trasierra ";1
16186;"Saelices ";1
16187;"Salinas del Manzano ";1
16188;"Salmeroncillos ";1
16189;"Salvacanete ";1
16190;"San Clemente ";2
16191;"San Lorenzo de la Parrilla ";1
16192;"San Martin de Boniches ";1
16193;"San Pedro Palmiches ";1
16194;"Santa Cruz de Moya ";1
16196;"Santa Maria de los Llanos ";1
16195;"Santa Maria del Campo Rus ";1
16197;"Santa Maria del Val ";1
16198;"Sisante ";2
16199;"Solera de Gabaldon ";1
16909;"Sotorribas ";1
16202;"Talayuelas ";1
16203;"Tarancon ";2
16204;"Tebar ";1
16205;"Tejadillos ";1
16206;"Tinajas ";1
16209;"Torralba ";1
16211;"Torrejoncillo del Rey ";1
16212;"Torrubia del Campo ";1
16213;"Torrubia del Castillo ";1
16215;"Tragacete ";1
16216;"Tresjuncos ";1
16217;"Tribaldos ";1
16218;"Ucles ";1
16219;"Una ";1
16906;"Valdecolmenas, Los ";1
16224;"Valdemeca ";1
16225;"Valdemorillo de la Sierra ";1
16227;"Valdemoro-Sierra ";1
16228;"Valdeolivas ";1
16902;"Valdetortola ";1
16903;"Valeras, Las ";2
16231;"Valhermoso de la Fuente ";1
16173;"Valle de Altomira, El ";1
16234;"Valsalobre ";1
16236;"Valverde de Jucar ";1
16237;"Valverdejo ";1
16238;"Vara de Rey ";1
16239;"Vega del Codorno ";1
16240;"Vellisca ";1
16242;"Villaconejos de Trabaque ";1
16243;"Villaescusa de Haro ";1
16244;"Villagarcia del Llano ";1
16245;"Villalba de la Sierra ";1
16246;"Villalba del Rey ";1
16247;"Villalgordo del Marquesado ";1
16248;"Villalpardo ";1
16249;"Villamayor de Santiago ";2
16250;"Villanueva de Guadamejud ";1
16251;"Villanueva de la Jara ";2
16253;"Villar de Canas ";1
16254;"Villar de Domingo Garcia ";1
16255;"Villar de la Encina ";1
16263;"Villar de Olalla ";1
16258;"Villar del Humo ";1
16259;"Villar del Infantado ";1
16910;"Villar y Velasco ";1
16264;"Villarejo de Fuentes ";1
16265;"Villarejo de la Penuela ";1
16266;"Villarejo-Periesteban ";1
16269;"Villares del Saz ";1
16270;"Villarrubio ";1
16271;"Villarta ";1
16272;"Villas de la Ventosa ";1
16273;"Villaverde y Pasaconsol ";1
16274;"Villora ";1
16275;"Vindel ";0
16276;"Yemeda ";1
16277;"Zafra de Zancara ";1
16278;"Zafrilla ";1
16279;"Zarza de Tajo ";1
16280;"Zarzuela ";1
17001;"Agullana ";1
17002;"Aiguaviva ";1
17003;"Albanya ";1
17004;"Albons ";1
17006;"Alp ";1
17007;"Amer ";2
17008;"Angles ";2
17009;"Arbucies ";2
17010;"Argelaguer ";1
17011;"Armentera, L' ";1
17012;"Avinyonet de Puigventos ";1
17015;"Banyoles ";2
17016;"Bascara ";1
17013;"Begur ";2
17018;"Bellcaire d'Emporda ";1
17019;"Besalu ";2
17020;"Bescano ";2
17021;"Beuda ";1
17022;"Bisbal d'Emporda, La ";2
17234;"Biure ";1
17023;"Blanes ";2
17029;"Boadella i les Escaules ";1
17024;"Bolvir ";1
17025;"Bordils ";2
17026;"Borrassa ";1
17027;"Breda ";2
17028;"Brunyola ";1
17031;"Cabanelles ";1
17030;"Cabanes ";1
17032;"Cadaques ";2
17033;"Caldes de Malavella ";2
17034;"Calonge ";2
17035;"Camos ";1
17036;"Campdevanol ";2
17037;"Campelles ";1
17038;"Campllong ";1
17039;"Camprodon ";2
17040;"Canet d'Adri ";1
17041;"Cantallops ";1
17042;"Capmany ";1
17044;"Cassa de la Selva ";2
17046;"Castellfollit de la Roca ";1
17047;"Castello d'Empuries ";2
17048;"Castell-Platja d'Aro ";2
17189;"Cellera de Ter, La ";2
17049;"Celra ";2
17050;"Cervia de Ter ";1
17051;"Cistella ";1
17054;"Colera ";1
17055;"Colomers ";1
17057;"Corca ";1
17056;"Cornella del Terri ";2
17058;"Crespia ";1
17901;"Cruilles, Monells i Sant Sadurni de l'Heura ";1
17060;"Darnius ";1
17061;"Das ";1
17062;"Escala, L' ";2
17063;"Espinelves ";1
17064;"Espolla ";1
17065;"Esponella ";1
17005;"Far d'Emporda, El ";1
17066;"Figueres ";2
17067;"Flaca ";1
17068;"Foixa ";1
17069;"Fontanals de Cerdanya ";1
17070;"Fontanilles ";1
17071;"Fontcoberta ";1
17902;"Forallac ";2
17073;"Fornells de la Selva ";2
17074;"Fortia ";1
17075;"Garrigas ";1
17076;"Garrigoles ";1
17077;"Garriguella ";1
17078;"Ger ";1
17079;"Girona ";2
17080;"Gombren ";1
17081;"Gualta ";1
17082;"Guils de Cerdanya ";1
17083;"Hostalric ";2
17084;"Isovol ";1
17085;"Jafre ";1
17086;"Jonquera, La ";2
17087;"Juia ";1
17088;"Llado ";1
17089;"Llagostera ";2
17090;"Llambilles ";1
17091;"Llanars ";1
17092;"Llanca ";2
17093;"Llers ";1
17094;"Llivia ";1
17095;"Lloret de Mar ";2
17096;"Llosses, Les ";1
17102;"Macanet de Cabrenys ";1
17103;"Macanet de la Selva ";2
17097;"Madremanya ";1
17098;"Maia de Montcal ";1
17100;"Masarac ";1
17101;"Massanes ";1
17099;"Meranges ";1
17105;"Mieres ";1
17106;"Mollet de Peralada ";1
17107;"Mollo ";1
17109;"Montagut i Oix ";1
17110;"Mont-ras ";2
17111;"Navata ";1
17112;"Ogassa ";1
17114;"Olot ";2
17115;"Ordis ";1
17116;"Osor ";1
17117;"Palafrugell ";2
17118;"Palamos ";2
17119;"Palau de Santa Eulalia ";1
17121;"Palau-sator ";1
17120;"Palau-saverdera ";1
17123;"Palol de Revardit ";1
17124;"Pals ";2
17125;"Pardines ";1
17126;"Parlava ";1
17128;"Pau ";1
17129;"Pedret i Marza ";1
17130;"Pera, La ";1
17132;"Peralada ";2
17133;"Planes d'Hostoles, Les ";2
17134;"Planoles ";1
17135;"Pont de Molins ";1
17136;"Pontos ";1
17137;"Porqueres ";2
17140;"Port de la Selva, El ";1
17138;"Portbou ";1
17139;"Preses, Les ";2
17141;"Puigcerda ";2
17142;"Quart ";2
17043;"Queralbs ";1
17143;"Rabos ";1
17144;"Regencos ";1
17145;"Ribes de Freser ";2
17146;"Riells i Viabrea ";2
17147;"Ripoll ";2
17148;"Riudarenes ";2
17149;"Riudaura ";1
17150;"Riudellots de la Selva ";2
17151;"Riumors ";1
17152;"Roses ";2
17153;"Rupia ";1
17154;"Sales de Llierca ";1
17155;"Salt ";2
17157;"Sant Andreu Salou ";1
17183;"Sant Aniol de Finestres ";1
17158;"Sant Climent Sescebes ";1
17159;"Sant Feliu de Buixalleu ";1
17160;"Sant Feliu de Guixols ";2
17161;"Sant Feliu de Pallerols ";1
17162;"Sant Ferriol ";1
17163;"Sant Gregori ";2
17164;"Sant Hilari Sacalm ";2
17165;"Sant Jaume de Llierca ";1
17167;"Sant Joan de les Abadesses ";2
17168;"Sant Joan de Mollet ";1
17185;"Sant Joan les Fonts ";2
17166;"Sant Jordi Desvalls ";1
17169;"Sant Julia de Ramis ";2
17903;"Sant Julia del Llor i Bonmati ";1
17171;"Sant Llorenc de la Muga ";1
17172;"Sant Marti de Llemena ";1
17173;"Sant Marti Vell ";1
17174;"Sant Miquel de Campmajor ";1
17175;"Sant Miquel de Fluvia ";1
17176;"Sant Mori ";1
17177;"Sant Pau de Seguries ";1
17178;"Sant Pere Pescador ";2
17180;"Santa Coloma de Farners ";2
17181;"Santa Cristina d'Aro ";2
17182;"Santa Llogaia d'alguema ";1
17184;"Santa Pau ";1
17186;"Sarria de Ter ";2
17187;"Saus, Camallera i Llampaies ";1
17188;"Selva de Mar, La ";1
17190;"Serinya ";1
17191;"Serra de Daro ";1
17192;"Setcases ";1
17193;"Sils ";2
17052;"Siurana ";1
17194;"Susqueda ";1
17195;"Tallada d'Emporda, La ";1
17196;"Terrades ";1
17197;"Torrent ";1
17198;"Torroella de Fluvia ";1
17199;"Torroella de Montgri ";2
17200;"Tortella ";1
17201;"Toses ";1
17202;"Tossa de Mar ";2
17204;"Ulla ";1
17205;"Ullastret ";1
17203;"Ultramort ";1
17206;"Urus ";1
17014;"Vajol, La ";1
17208;"Vall de Bianya, La ";1
17207;"Vall d'en Bas, La ";2
17170;"Vallfogona de Ripolles ";1
17209;"Vall-llobrega ";1
17210;"Ventallo ";1
17211;"Verges ";1
17212;"Vidra ";1
17213;"Vidreres ";2
17214;"Vilabertran ";1
17215;"Vilablareix ";2
17217;"Viladamat ";1
17216;"Viladasens ";1
17218;"Vilademuls ";1
17220;"Viladrau ";1
17221;"Vilafant ";2
17223;"Vilajuiga ";1
17224;"Vilallonga de Ter ";1
17225;"Vilamacolum ";1
17226;"Vilamalla ";1
17227;"Vilamaniscle ";1
17228;"Vilanant ";1
17230;"Vila-sacra ";1
17222;"Vilaur ";1
17233;"Vilobi d'Onyar ";2
17232;"Vilopriu ";1
18001;"Agron ";1
18002;"Alamedilla ";1
18003;"Albolote ";2
18004;"Albondon ";1
18005;"Albunan ";1
18006;"Albunol ";2
18007;"Albunuelas ";1
18010;"Aldeire ";1
18011;"Alfacar ";2
18012;"Algarinejo ";2
18013;"Alhama de Granada ";2
18014;"Alhendin ";2
18015;"Alicun de Ortega ";1
18016;"Almegijar ";1
18017;"Almunecar ";2
18904;"Alpujarra de la Sierra ";1
18018;"Alquife ";1
18020;"Arenas del Rey ";2
18021;"Armilla ";2
18022;"Atarfe ";2
18023;"Baza ";2
18024;"Beas de Granada ";1
18025;"Beas de Guadix ";1
18027;"Benalua ";2
18028;"Benalua de las Villas ";1
18029;"Benamaurel ";2
18030;"Berchules ";1
18032;"Bubion ";1
18033;"Busquistar ";1
18034;"Cacin ";1
18035;"Cadiar ";1
18036;"Cajar ";2
18114;"Calahorra, La ";1
18037;"Calicasas ";1
18038;"Campotejar ";1
18039;"Caniles ";2
18040;"Canar ";1
18042;"Capileira ";1
18043;"Carataunas ";1
18044;"Castaras ";1
18045;"Castillejar ";1
18046;"Castril ";2
18047;"Cenes de la Vega ";2
18059;"Chauchina ";2
18061;"Chimeneas ";1
18062;"Churriana de la Vega ";2
18048;"Cijuela ";2
18049;"Cogollos de Guadix ";1
18050;"Cogollos de la Vega ";2
18051;"Colomera ";1
18053;"Cortes de Baza ";2
18054;"Cortes y Graena ";1
18912;"Cuevas del Campo ";2
18056;"Cullar ";2
18057;"Cullar Vega ";2
18063;"Darro ";1
18064;"Dehesas de Guadix ";1
18065;"Dehesas Viejas ";1
18066;"Deifontes ";2
18067;"Diezma ";1
18068;"Dilar ";2
18069;"Dolar ";1
18070;"Dudar ";1
18071;"Durcal ";2
18072;"Escuzar ";1
18074;"Ferreira ";1
18076;"Fonelas ";1
18078;"Freila ";1
18079;"Fuente Vaqueros ";2
18905;"Gabias, Las ";2
18082;"Galera ";1
18083;"Gobernador ";1
18084;"Gojar ";2
18085;"Gor ";1
18086;"Gorafe ";1
18087;"Granada ";2
18088;"Guadahortuna ";2
18089;"Guadix ";2
18906;"Guajares, Los ";1
18093;"Gualchos ";2
18094;"Guejar Sierra ";2
18095;"Guevejar ";2
18096;"Huelago ";1
18097;"Hueneja ";1
18098;"Huescar ";2
18099;"Huetor de Santillan ";2
18100;"Huetor Tajar ";2
18101;"Huetor Vega ";2
18102;"Illora ";2
18103;"Itrabo ";1
18105;"Iznalloz ";2
18107;"Jayena ";1
18108;"Jerez del Marquesado ";1
18109;"Jete ";1
18111;"Jun ";2
18112;"Juviles ";1
18115;"Lachar ";2
18116;"Lanjaron ";2
18117;"Lanteira ";1
18119;"Lecrin ";2
18120;"Lentegi ";1
18121;"Lobras ";1
18122;"Loja ";2
18123;"Lugros ";1
18124;"Lujar ";1
18126;"Malaha, La ";2
18127;"Maracena ";2
18128;"Marchal ";1
18132;"Moclin ";2
18133;"Molvizar ";2
18134;"Monachil ";2
18135;"Montefrio ";2
18136;"Montejicar ";2
18137;"Montillana ";1
18138;"Moraleda de Zafayona ";2
18909;"Morelabor ";1
18140;"Motril ";2
18141;"Murtas ";1
18903;"Nevada ";1
18143;"Niguelas ";1
18144;"Nivar ";1
18145;"Ogijares ";2
18146;"Orce ";1
18147;"orgiva ";2
18148;"Otivar ";1
18150;"Padul ";2
18151;"Pampaneira ";1
18152;"Pedro Martinez ";1
18153;"Peligros ";2
18154;"Peza, La ";1
18910;"Pinar, El ";1
18157;"Pinos Genil ";1
18158;"Pinos Puente ";2
18159;"Pinar ";1
18161;"Policar ";1
18162;"Polopos ";2
18163;"Portugos ";1
18164;"Puebla de Don Fadrique ";2
18165;"Pulianas ";2
18167;"Purullena ";2
18168;"Quentar ";1
18170;"Rubite ";1
18171;"Salar ";2
18173;"Salobrena ";2
18174;"Santa Cruz del Comercio ";1
18175;"Santa Fe ";2
18176;"Soportujar ";1
18177;"Sorvilan ";1
18901;"Taha, La ";1
18178;"Torre-Cardela ";1
18179;"Torvizcon ";1
18180;"Trevelez ";1
18181;"Turon ";1
18182;"Ugijar ";2
18914;"Valderrubio ";2
18907;"Valle del Zalabi ";2
18902;"Valle, El ";1
18183;"Valor ";1
18911;"Vegas del Genil ";2
18184;"Velez de Benaudalla ";2
18185;"Ventas de Huelma ";1
18149;"Villa de Otura ";2
18908;"Villamena ";1
18187;"Villanueva de las Torres ";1
18188;"Villanueva Mesia ";2
18189;"Viznar ";1
18192;"Zafarraya ";2
18913;"Zagra ";1
18193;"Zubia, La ";2
18194;"Zujar ";2
19001;"Abanades ";1
19002;"Ablanque ";1
19003;"Adobes ";1
19004;"Alaminos ";1
19005;"Alarilla ";1
19006;"Albalate de Zorita ";1
19007;"Albares ";1
19008;"Albendiego ";1
19009;"Alcocer ";1
19010;"Alcolea de las Penas ";0
19011;"Alcolea del Pinar ";1
19013;"Alcoroches ";1
19015;"Aldeanueva de Guadalajara ";1
